Name,Website,Industry,City,Country,Funding Amount (USD),Funding Type,Founder Experience (Years),Team Size,Revenue (USD),Last Funding Date
EarthSync,earthsync.io,"EdTech, AI Tutoring",Delhi NCR,India,Unknown,Series E,2.0,418.0,"$478,000",June 2026
4baseCare,4basecare.com,"HRTech, Staffing",Mumbai,India,"$867,000",Series B,4.0,199.0,"$692,000",January 2026
Cava Athleisure,cavaathleisure.in,"Agritech, B2B Marketplace",Bengaluru,India,"$168,000",Pre-IPO,9.0,2280.0,$0,February 2026
JuniorGo,juniorgo.io,"Real Estate, PropTech",Jaipur,India,"$7,136,000",Series B,8.5,186.0,"$910,000",March 2026
Entellus Industries,entellusindustries.com,"B2B Manufacturing, Contract Mfg",Chennai,India,"$701,000",Series C,5.0,275.0,"$2,159,000",February 2026
Krutrim AI,krutrimai.in,"Education, Finance, Personal Development",Ahmedabad,India,"$1,759,000",Series E,12.0,1442.0,"$4,114,000",February 2026
Ola Electric,olaelectric.io,"Mobility, EV",Kolkata,India,"$96,000",Growth Equity,8.0,666.0,$0,May 2026
Zepto,zepto.com,"Space Tech, DeepTech",Jaipur,India,"$882,000",Growth Equity,8.5,1088.0,"$2,325,000",March 2026
IndiGrid Energy,indigridenergy.in,"Space Tech, DeepTech",Delhi NCR,India,"$867,000",Series B,7.0,85.0,"$220,000",April 2026
Healthkart,healthkart.io,"HRTech, Staffing",Chennai,India,"$199,000",Series E,1.0,673.0,,February 2026
Zypp Electric,zyppelectric.com,"HRTech, Staffing",Ahmedabad,India,"$9,450,000",Series D,12.0,255.0,"$1,948,000",May 2026
Mintifi,mintifi.in,"Travel, Hospitality",Gurugram,India,"$4,923,000",Series E,2.0,1202.0,$0,April 2026
Ninjacart,ninjacart.io,"EdTech, AI Tutoring",Kolkata,India,Unknown,Pre-Seed,2.0,12.0,$0,January 2026
Open Financial,openfinancial.com,"Quick Commerce, Logistics",Kolkata,India,"$9,472,000",Series E,2.0,1299.0,"$5,363,000",February 2026
